step,skill,lm_loss,router_loss,router_acc,tok_per_s
0,story,6.9468,1.3854,,1317
25,qa,5.8867,1.3916,,11433
50,math,4.2327,1.2091,,13387
75,count,3.1433,1.071,,14168
100,story,5.6544,0.0,,14707
125,qa,3.1472,0.0155,,15006
150,math,2.0414,0.0005,,15238
175,count,1.1509,0.0033,,15387
200,story,4.8867,0.0011,,15518
225,qa,1.9151,0.0031,,15596
249,EVAL,2.083,,1.0,
250,math,1.4009,0.0009,,15551
275,count,0.7065,0.0006,,15614
300,story,4.5192,0.0007,,15693
325,qa,1.3161,0.0022,,15730
350,math,1.2355,0.0004,,15762
375,count,0.5663,0.0004,,15785
400,story,4.1944,0.0011,,15816
425,qa,0.9088,0.0006,,15857
450,math,1.1748,0.0001,,15872
475,count,0.5098,0.0001,,15896
499,EVAL,1.526,,1.0,
500,story,4.0409,0.002,,15849
525,qa,0.6605,0.0004,,15886
550,math,1.1251,0.0002,,15921
575,count,0.4604,0.0,,15945
600,story,3.9038,0.0001,,15961
625,qa,0.4864,0.0003,,15970
650,math,1.1015,0.0001,,15991
675,count,0.4154,0.0001,,16006
700,story,3.7727,0.0001,,16024
725,qa,0.4255,0.0004,,16037
749,EVAL,1.3122,,1.0,
750,math,1.0247,0.0003,,16021
775,count,0.389,0.0002,,16036
800,story,3.5473,0.0002,,16061
825,qa,0.3952,0.0001,,16078
850,math,0.9586,0.0001,,16101
875,count,0.3845,0.0003,,16119
900,story,3.4478,0.0,,16138
925,qa,0.3813,0.0002,,16156
950,math,0.9207,0.0001,,16168
975,count,0.3686,0.0001,,16180
999,EVAL,1.2049,,1.0,
1000,story,3.3607,0.0002,,16166
1025,qa,0.3685,0.0007,,16178
1050,math,0.8877,0.0001,,16191
1075,count,0.3651,0.0001,,16195
1100,story,3.3051,0.0002,,16194
1125,qa,0.3745,0.0002,,16194
1150,math,0.8984,0.0001,,16198
1175,count,0.3607,0.0001,,16198
1200,story,3.1851,0.0001,,16202
1225,qa,0.3511,0.0002,,16207
1249,EVAL,1.1094,,1.0,
1250,math,0.8171,0.0001,,16194
1275,count,0.3641,0.0,,16203
1300,story,3.2382,0.0,,16207
1325,qa,0.3513,0.0002,,16209
1350,math,0.7708,0.0,,16210
1375,count,0.3599,0.0,,16207
1400,story,3.1939,0.0,,16199
1425,qa,0.3453,0.0,,16191
1450,math,0.8131,0.0001,,16182
1475,count,0.361,0.0,,16174
